time	err_x	err_y	err_z
2.48	0.43814	9.82111	-2.0042
2.49	0.442838	9.80538	-2.01276
2.5	0.447535	9.78865	-2.02131
2.51	0.452232	9.77092	-2.02987
2.521	0.4574	9.75026	-2.03928
2.531	0.462097	9.73043	-2.04783
2.541	0.466795	9.7096	-2.05639
2.551	0.471492	9.68777	-2.06494
2.561	0.476189	9.66494	-2.07349
2.571	0.480887	9.64112	-2.08205
2.581	0.485584	9.61629	-2.0906
2.59099	0.490282	9.59046	-2.09916
2.60099	0.494979	9.56363	-2.10771
2.61099	0.499677	9.5358	-2.11627
2.62099	0.504374	9.50697	-2.12482
2.63099	0.509072	9.47714	-2.13338
2.64099	0.513769	9.44631	-2.14193
2.65099	0.518466	9.41449	-2.15048
2.66099	0.523164	9.38166	-2.15904
2.67099	0.527861	9.34783	-2.16759
2.68099	0.532559	9.313	-2.17615
2.69099	0.537256	9.27717	-2.1847
2.70099	0.541954	9.24034	-2.19326
2.71099	0.546651	9.20251	-2.20181
2.72099	0.551349	9.16368	-2.21037
2.73098	0.556046	9.12385	-2.21892
2.74098	0.560743	9.08302	-2.22747
2.75098	0.565441	9.0412	-2.23603
2.76098	0.570138	8.99837	-2.24458
2.77098	0.574836	8.95454	-2.25314
2.78098	0.579533	8.90971	-2.26169
2.79098	0.584231	8.86388	-2.27025
2.80098	0.588928	8.81705	-2.2788
2.81098	0.593625	8.76922	-2.28736
2.82098	0.598323	8.72039	-2.29591
2.83098	0.60302	8.67056	-2.30446
2.84098	0.607718	8.61973	-2.31302
2.85098	0.612415	8.5679	-2.32157
2.86098	0.617113	8.51507	-2.33013
2.87097	0.62181	8.46124	-2.33868
2.88097	0.626508	8.40641	-2.34724
2.89097	0.631205	8.35059	-2.35579
2.90097	0.635902	8.29376	-2.36435
2.91097	0.6406	8.23593	-2.3729
2.92097	0.645297	8.1771	-2.38145
2.93097	0.649995	8.11727	-2.39001
2.94097	0.654692	8.05644	-2.39856
2.95097	0.65939	7.99461	-2.40712
2.96097	0.664087	7.93178	-2.41567
2.97097	0.668785	7.86795	-2.42423
2.98097	0.673482	7.80312	-2.43278
2.99097	0.678179	7.73729	-2.44134
